date,rome,total,recuperees,nouvelles,modifiees
2026-09-24,D1301,37,37,37,0
2026-09-24,D1302,1779,1150,1150,0
2026-09-24,D1305,18,18,18,0
2026-09-24,D1417,163,163,163,0
2026-09-24,D1502,1633,1150,1150,0
2026-09-24,D1503,512,512,512,0
2026-09-24,D1504,734,734,734,0
2026-09-24,D1506,136,136,136,0
2026-09-24,D1508,534,534,534,0
2026-09-24,D1509,663,663,663,0
2026-09-24,D1510,224,224,224,0
2026-09-24,D1512,5,5,5,0
2026-09-24,D1513,240,240,240,0
2026-09-24,D1516,18,18,18,0
2026-09-24,D1517,203,203,203,0
2026-09-24,E1113,285,285,285,0
2026-09-24,K1816,32,32,32,0
2026-09-24,M1720,5,5,5,0
